timestamp,yy,xx,value,type
1589047200,-20,30,-13,soilhumidity
1589047200,-20,60,-18,soilhumidity
1589047200,-20,90,-32,soilhumidity
1589050800,-60,0,-17,soilhumidity
1589050800,-60,30,-17,soilhumidity
1589050800,-60,60,-13,soilhumidity
1589050800,-60,90,-13,soilhumidity
1589050800,-40,0,-12,soilhumidity
1589050800,-40,30,-13,soilhumidity
1589050800,-40,60,-31,soilhumidity
1589050800,-40,90,-17,soilhumidity
1589050800,-20,0,-14,soilhumidity
1589050800,-20,30,-13,soilhumidity
1589050800,-20,60,-18,soilhumidity
1589050800,-20,90,-32,soilhumidity
1589054400,-60,0,-17,soilhumidity
1589054400,-60,30,-17,soilhumidity
1589054400,-60,60,-13,soilhumidity
1589054400,-60,90,-13,soilhumidity
1589054400,-40,0,-13,soilhumidity
1589054400,-40,30,-13,soilhumidity
1589054400,-40,60,-21,soilhumidity
1589054400,-40,90,-17,soilhumidity
1589054400,-20,0,-14,soilhumidity
1589054400,-20,30,-13,soilhumidity
1589054400,-20,60,-18,soilhumidity
1589054400,-20,90,-32,soilhumidity
1589058000,-60,0,-17,soilhumidity
1589058000,-60,30,-17,soilhumidity
1589058000,-60,60,-13,soilhumidity
1589058000,-60,90,-13,soilhumidity
1589058000,-40,0,-14,soilhumidity
1589058000,-40,30,-13,soilhumidity
1589058000,-40,60,-21,soilhumidity
1589058000,-40,90,-17,soilhumidity
1589058000,-20,0,-14,soilhumidity
1589058000,-20,30,-13,soilhumidity
